    1.00    2.00  999.00  999.00    2.10    3.90  999.00  999.00    0.00   28.00    6.08   13.00   10.00    22
    3.00    6.00    4.00    5.00    2.10    2.90    4.50    4.50    1.00   28.00    6.83    9.00    9.00    34
    0.00    2.00    0.00    1.00    2.30    4.50    4.20    4.60    0.00   28.00    6.50    9.00    6.00    58
    0.00    3.00    1.00    1.00    3.70    8.00  999.00  999.00    1.00   28.00    7.83   13.00   10.00   122
    1.00    1.00    2.00    1.00    2.30    3.80    4.30    6.20    0.00   29.00    7.42   10.00    8.00   125
    3.00    4.00    3.00    5.00    1.80    2.60    4.10    4.00    1.00   28.00    6.75    8.00    9.00   133
    5.00    4.00    5.00    5.00    3.50    4.80    5.80    7.50    1.00   28.00    7.17   10.00   10.00   163
    0.00  999.00  999.00    0.00    2.90    6.10  999.00  999.00    0.00   28.00    6.67    9.00    8.00   190
    0.00    0.00    2.00    1.00    1.80    3.80    4.00  999.00    0.00   29.00    6.25   12.00   10.00   227
    1.00    2.00    2.00    0.00    3.50    5.70    7.00    6.90    0.00   28.00    7.50    9.00    9.00   248
    2.00    3.00    4.00    4.00    2.60    3.80    6.30    6.10    1.00   29.00    7.42    6.00    9.00   251
    0.00    6.00    0.00    3.00    1.80    3.70    4.40    4.20    1.00   28.00    6.08    7.00   11.00   300
    4.00    2.00  999.00    3.00    1.80    3.20  999.00    5.40    1.00   29.00    6.08   13.00   10.00   326
    1.00    0.00    2.00    0.00    2.20    4.00    5.10    6.30    1.00   27.00    7.00   10.00   11.00   348
    0.00    0.00    0.00    0.00    2.50    3.70    4.10    7.20    0.00   27.00    7.17    7.00    4.00   382
    2.00    6.00    3.00    5.00    2.40    5.00    5.10    5.80    1.00   27.00    6.00    8.00    8.00   400
    4.00    4.00  999.00    4.00    3.10    4.10  999.00    5.50    1.00   27.00    6.25   14.00   11.00   405
    3.00    2.00    3.00    4.00    2.80    5.70    5.30    5.80    1.00   28.00    7.50    9.00    3.00   427
    0.00    1.00    1.00    0.00    1.40    2.20    2.30  999.00    0.00   27.00    6.42   10.00    9.00   431
    0.00    1.00    2.00    1.00    3.50    4.30    4.80    5.90    0.00   27.00    7.67   10.00   11.00   480
    0.00    0.00    1.00    0.00    6.70    8.20    6.90  999.00    0.00   28.00    8.00   13.00   11.00   484
    1.00    1.00    0.00    1.00    3.10    4.70    5.60    6.40    1.00   27.00    6.67    7.00    7.00   486
    2.00    6.00    5.00    4.00    2.30    4.10    5.80    6.90    1.00   27.00    7.42   10.00    9.00   494
    3.00    3.00    2.00    9.00    2.10    3.90    5.00    5.30    1.00   27.00    6.33   11.00   10.00   509
    1.00  999.00    2.00    1.00    3.00    4.20    5.60    6.20    0.00   27.00    7.17    9.00    9.00   522
    0.00    0.00    1.00    0.00    1.80    2.70    4.00    4.50    0.00   28.00    6.42   11.00    8.00   533
    1.00    3.00    0.00    0.00    3.80    5.70    6.20    6.80    0.00   28.00    7.75    9.00    5.00   555
    2.00    0.00    1.00    2.00    1.80    4.20    5.10    7.20    0.00   27.00    6.00    8.00    8.00   568
    0.00    3.00    2.00    2.00    2.60    2.50    3.30    4.40    1.00   27.00    6.17    4.00    6.00   637
    5.00    0.00    5.00    3.00    3.60    5.20    6.00    7.50    0.00   27.00    8.00    7.00    7.00   648
    0.00    1.00    2.00    2.00    1.80    2.40    3.70    5.40    0.00   26.00    6.00   12.00   13.00   689
    1.00    4.00    1.00    1.00    3.00    4.70    6.50    6.10    1.00   26.00    6.67    6.00    9.00   747
    3.00    2.00  999.00    5.00    2.30    4.20  999.00    6.70    0.00   26.00    6.50    9.00    7.00   756
    1.00    3.00    3.00    1.00    2.10    2.50    4.00    3.30    1.00   26.00    7.83    9.00   11.00   761
    0.00    0.00    0.00    0.00    2.80    5.00    6.00    6.10    0.00   27.00    6.92   12.00   11.00   768
    1.00    3.00    2.00    3.00    1.80    2.90    6.00  999.00    1.00   26.00    6.08    9.00   11.00   780
    1.00    3.00    3.00    5.00    1.80    2.40    3.50    4.40    0.00   27.00    6.00   10.00   12.00   798
    1.00    2.00    3.00    1.00    2.80    3.80    3.90    5.00    1.00   26.00    7.00    3.00    7.00   813
    2.00    2.00    4.00    3.00    1.70    2.80    3.90    4.80    0.00   26.00    6.42    9.00    7.00   828
    2.00    5.00    5.00    7.00    3.10    5.20    6.20    6.80    0.00   26.00    6.50    9.00    8.00   851
    4.00    0.00    4.00    4.00    1.30    2.30    2.50    3.40    1.00   26.00    6.25   13.00   10.00   858
    4.00    0.00  999.00    6.00    2.30    4.10  999.00    5.40    0.00   26.00    7.50    7.00    7.00   865
    1.00    3.00    3.00    2.00    1.80    3.50    3.70    5.60    1.00   27.00    6.17   12.00    9.00   894
    0.00    2.00    3.00    2.00    1.70    2.10  999.00    2.50    1.00   26.00    6.50   10.00   12.00   906
    3.00    0.00    4.00    1.00    1.90    2.30    3.00    2.80    1.00   26.00    7.75    7.00    8.00   911
    0.00    0.00    1.00    0.00    3.30    4.40    5.90    5.80    0.00   26.00    8.00   10.00   10.00   936
    4.00    2.00    2.00    3.00    3.10    4.10    4.70    5.10    1.00   26.00    7.42    8.00   10.00   939
    1.00    0.00    1.00    0.00    2.70    4.90    5.00  999.00    0.00   27.00    7.83    8.00   11.00   945
    1.00    1.00    1.00  999.00    2.10    4.00    4.40  999.00    0.00   27.00    7.08   13.00    6.00   957
    6.00    5.00    3.00    4.00    1.90    3.00    4.10    4.40    1.00   27.00    6.25   12.00   11.00   963
    2.00    5.00    1.00    2.00    2.20    3.90    5.70    6.00    0.00   26.00    7.58    7.00   11.00   970
    0.00    0.00    2.00    0.00    2.50    4.00    4.40    5.50    0.00   26.00    6.33    8.00    7.00  1031
    0.00    3.00    4.00    1.00    2.40    3.90    5.10    5.60    1.00   26.00    6.92    8.00   12.00  1036
    0.00    1.00    1.00    2.00    2.00    4.00  999.00    5.70    0.00   25.00    6.42    8.00    9.00  1048
    1.00    0.00    0.00    0.00    2.10  999.00    4.50    5.30    0.00   25.00    6.17   10.00   11.00  1050
    6.00    6.00  999.00  999.00    1.70    2.10  999.00  999.00    1.00   25.00    8.00    8.00    9.00  1072
